TSTEP,Rh_litter,Rh_soil,Rh_total,C_litter,C_soil,C_total
0,0.9701521,0.7582162,1.7283683,4.5701694,21.359884,25.930054
1,1.333419,0.9301003,2.2635193,4.5690365,21.360292,25.929329
2,1.8966357,1.2580646,3.1547003,4.5667686,21.360943,25.927711
3,2.038155,1.3996662,3.4378214,4.5642204,21.361593,25.925814
4,1.0620928,0.97679037,2.0388832,4.563635,21.361677,25.925312
5,0.96958834,0.8428206,1.8124089,4.563236,21.361803,25.92504
6,1.0407897,0.87690353,1.9176933,4.5626907,21.361969,25.92466
7,0.97566277,0.8275017,1.8031645,4.562275,21.36212,25.924395
8,1.1411095,0.9025001,2.0436096,4.5615234,21.362364,25.923887
9,1.2708762,0.99600667,2.266883,4.5605145,21.362644,25.923159
10,1.2765596,1.0247748,2.3013344,4.559492,21.362904,25.922396
11,1.102878,0.93770826,2.0405862,4.5588207,21.363071,25.921892
12,0.92544305,0.85747874,1.7829218,4.558504,21.363142,25.921646
13,0.5922899,0.6633562,1.2556461,4.558861,21.363068,25.921928
14,0.6715995,0.63975275,1.3113523,4.5590553,21.3631,25.922155
15,0.9131489,0.7475083,1.6606572,4.5587597,21.363272,25.922031
16,0.5122292,0.5371653,1.0493945,4.559273,21.363245,25.922518
17,0.4902059,0.47215757,0.9623635,4.5598297,21.363264,25.923094
18,0.64246434,0.5458556,1.1883199,4.5600777,21.363363,25.92344
19,0.7065602,0.6009479,1.3075081,4.560198,21.363474,25.923672
20,0.52370244,0.5412082,1.0649107,4.560688,21.363455,25.924143
21,0.47805098,0.4867073,0.9647583,4.561268,21.363447,25.924715
22,0.6415905,0.5368657,1.1784562,4.5615177,21.363554,25.925072
23,0.77224624,0.62370443,1.3959507,4.5615044,21.363708,25.925213
24,0.60066307,0.56077075,1.1614338,4.561838,21.363749,25.925587
25,0.6316163,0.56965524,1.2012715,4.562109,21.363813,25.925922
26,0.48992783,0.5013324,0.99126023,4.562664,21.363802,25.926466
27,0.49013162,0.4673596,0.9574912,4.563221,21.363825,25.927046
28,0.5958667,0.49868572,1.0945524,4.5635605,21.363926,25.927486
29,0.6661364,0.54431474,1.2104511,4.563759,21.364052,25.92781
30,0.8124292,0.6345972,1.4470264,4.5636654,21.364235,25.9279
31,0.7290488,0.61688596,1.3459347,4.563738,21.364351,25.92809
32,0.65216357,0.58790654,1.2400701,4.5639668,21.364418,25.928385
33,0.6574963,0.56344444,1.2209407,4.564184,21.364515,25.9287
34,0.84826386,0.65346754,1.5017314,4.5640144,21.364717,25.928732
35,0.78240556,0.6562006,1.4386061,4.563982,21.364847,25.92883
36,0.7949073,0.6611828,1.4560901,4.563921,21.364986,25.928907
37,0.86884695,0.6949616,1.5638086,4.563711,21.365168,25.928879
38,0.7338475,0.63432956,1.368177,4.563774,21.36527,25.929045
39,1.0167367,0.7366281,1.7533649,4.563265,21.36556,25.928825
40,1.1191902,0.8396116,1.9588017,4.5625515,21.36585,25.928402
41,1.1907889,0.9238552,2.114644,4.5616913,21.366129,25.92782
42,0.7498936,0.6839482,1.4338418,4.561722,21.3662,25.927921
43,0.7797463,0.66494286,1.4446892,4.5616894,21.366322,25.92801
44,1.0336292,0.8073256,1.8409548,4.561146,21.366558,25.927704
45,0.8732125,0.74860734,1.6218199,4.5609264,21.36669,25.927616
46,1.0379874,0.8130145,1.8510019,4.560375,21.366924,25.9273
47,0.8216318,0.73114336,1.5527751,4.560259,21.367022,25.92728
48,0.7957586,0.7012012,1.4969598,4.560194,21.367123,25.927317
49,0.9087296,0.7485452,1.6572748,4.5599003,21.367292,25.927193
50,0.8765719,0.7506597,1.6272316,4.5596695,21.367428,25.927097
51,0.9416725,0.77437836,1.7160509,4.559311,21.367605,25.926916
52,1.127392,0.8454241,1.9728162,4.5585747,21.3679,25.926476
53,1.4482316,1.0366141,2.4848456,4.55719,21.368334,25.925524
54,1.567451,1.1421056,2.7095566,4.555565,21.368782,25.924347
55,1.8671359,1.3175894,3.1847253,4.5533333,21.369362,25.922695
